region_def,ssp,approach,n,budget_share
ed57,SSP1,percapita,egy,0.013356687632644058
ed57,SSP1,percapita,esp,0.0065342246100547445
ed57,SSP1,percapita,fin,0.000817268152395633
ed57,SSP1,percapita,fra,0.010207568829168512
ed57,SSP1,percapita,gbr,0.009917170224136664
ed57,SSP1,percapita,golf57,0.03223350171566275
ed57,SSP1,percapita,grc,0.0014064676696403024
ed57,SSP1,percapita,hun,0.001125810971682219
ed57,SSP1,percapita,idn,0.031038185849019403
ed57,SSP1,percapita,irl,0.000822107544678497
ed57,SSP1,percapita,ita,0.007599578246261187
ed57,SSP1,percapita,jpn,0.013447570016993841
ed57,SSP1,percapita,meme,0.008029407457935544
ed57,SSP1,percapita,mex,0.015575794470757255
ed57,SSP1,percapita,mys,0.00471730633870755
ed57,SSP1,percapita,nde,0.17890222608257658
ed57,SSP1,percapita,nld,0.002396880861582397
ed57,SSP1,percapita,noan,0.00530081080300485
ed57,SSP1,percapita,noap,0.006295803883585654
ed57,SSP1,percapita,nor,0.0009358753449978211
ed57,SSP1,percapita,oeu,0.0025497916304968843
ed57,SSP1,percapita,osea,0.0282737496367475
ed57,SSP1,percapita,pol,0.0043820977665811845
ed57,SSP1,percapita,prt,0.0014135163497044736
ed57,SSP1,percapita,rcam,0.010938892180065286
ed57,SSP1,percapita,rcz,0.0014825232782133097
ed57,SSP1,percapita,rfa,0.009979984133245834
ed57,SSP1,percapita,ris,0.010896838562488399
ed57,SSP1,percapita,rjan57,0.002495141565760545
ed57,SSP1,percapita,rom,0.0019808895063922268
ed57,SSP1,percapita,rsaf,0.18448202434388253
ed57,SSP1,percapita,rsam,0.019849209305722124
ed57,SSP1,percapita,rsas,0.0652906329298089
ed57,SSP1,percapita,rsl,0.0006879371470390991
ed57,SSP1,percapita,rus,0.015554150464112447
ed57,SSP1,percapita,slo,0.00028130896387446963
ed57,SSP1,percapita,sui,0.0011547000395273144
ed57,SSP1,percapita,swe,0.0016664622666341588
ed57,SSP1,percapita,tha,0.00800014666865423
ed57,SSP1,percapita,tur,0.01016334099187034
ed57,SSP1,percapita,ukr,0.0044760170449287635
ed57,SSP1,percapita,usa,0.052582662325876724
ed57,SSP1,percapita,vnm,0.011140856151336802
ed57,SSP1,percapita,zaf,0.007297382745838357
ed57,SSP2,percapita,arg,0.005366787431826674
ed57,SSP2,percapita,aus,0.004103555251207463
ed57,SSP2,percapita,aut,0.0010003878708909402
ed57,SSP2,percapita,bel,0.001408359136166763
ed57,SSP2,percapita,bgr,0.0006918671501177996
ed57,SSP2,percapita,blt,0.0006302080628421307
ed57,SSP2,percapita,bra,0.024393819300100334
ed57,SSP2,percapita,can,0.005423959604905991
ed57,SSP2,percapita,chl,0.0021836315755578923
ed57,SSP2,percapita,chn,0.12899127366528867
ed57,SSP2,percapita,cor,0.004754051425380937
ed57,SSP2,percapita,cro,0.00043991158613799835
ed57,SSP2,percapita,dnk,0.0007537890691873971
ed57,SSP2,percapita,egy,0.013708893349923193
ed57,SSP2,percapita,esp,0.005715590253969293
ed57,SSP2,percapita,fin,0.0007071739731642105
ed57,SSP2,percapita,fra,0.008975342804468683
ed57,SSP2,percapita,gbr,0.008686015062552184
ed57,SSP2,percapita,golf57,0.03378290315351156
ed57,SSP2,percapita,grc,0.001217511964275352
ed57,SSP2,percapita,hun,0.000961031938700066
ed57,SSP2,percapita,idn,0.030040309823865838
ed57,SSP2,percapita,irl,0.0007126871829368548
ed57,SSP2,percapita,ita,0.006643123654743179
ed57,SSP2,percapita,jpn,0.011579980850701286
ed57,SSP2,percapita,meme,0.008114456037155254
ed57,SSP2,percapita,mex,0.016105105783570446
ed57,SSP2,percapita,mys,0.004743281579729721
ed57,SSP2,percapita,nde,0.18540232341678778
ed57,SSP2,percapita,nld,0.002087604102276136
ed57,SSP2,percapita,noan,0.005267280566225292
ed57,SSP2,percapita,noap,0.006316379929590991
ed57,SSP2,percapita,nor,0.0008172692053209995
ed57,SSP2,percapita,oeu,0.0024164254501803303
ed57,SSP2,percapita,osea,0.02891431338707647
ed57,SSP2,percapita,pol,0.0037553156400518327
ed57,SSP2,percapita,prt,0.0012357850318532421
ed57,SSP2,percapita,rcam,0.011361767882742025
ed57,SSP2,percapita,rcz,0.001282544059573104
ed57,SSP2,percapita,rfa,0.008607009076877229
ed57,SSP2,percapita,ris,0.010859414971846428
ed57,SSP2,percapita,rjan57,0.002520325361480232
ed57,SSP2,percapita,rom,0.001853658774080297
ed57,SSP2,percapita,rsaf,0.20069653679498992
